timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/03 18:14:27.118, 0, NVIDIA RTX A4000, 0 %, 2 MiB, 16376 MiB, 12.41 W
2026/05/03 18:14:27.121, 1, NVIDIA RTX A4000, 0 %, 2 MiB, 16376 MiB, 13.30 W
2026/05/03 18:14:32.124, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 12.43 W
2026/05/03 18:14:32.270, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 13.35 W
2026/05/03 18:14:37.272, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 12.48 W
2026/05/03 18:14:37.469, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 13.28 W
2026/05/03 18:14:42.472, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 12.28 W
2026/05/03 18:14:42.652, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 13.14 W
2026/05/03 18:14:47.654, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 12.22 W
2026/05/03 18:14:47.711, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 13.20 W
2026/05/03 18:14:52.714, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 12.14 W
2026/05/03 18:14:52.803, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 13.08 W
2026/05/03 18:14:57.805, 0, NVIDIA RTX A4000, 2 %, 215 MiB, 16376 MiB, 18.74 W
2026/05/03 18:14:57.808, 1, NVIDIA RTX A4000, 1 %, 215 MiB, 16376 MiB, 16.76 W
2026/05/03 18:15:02.811, 0, NVIDIA RTX A4000, 0 %, 4745 MiB, 16376 MiB, 35.43 W
2026/05/03 18:15:02.966, 1, NVIDIA RTX A4000, 0 %, 4805 MiB, 16376 MiB, 35.97 W
2026/05/03 18:15:07.974, 0, NVIDIA RTX A4000, 62 %, 6879 MiB, 16376 MiB, 70.50 W
2026/05/03 18:15:08.047, 1, NVIDIA RTX A4000, 54 %, 6343 MiB, 16376 MiB, 71.70 W
2026/05/03 18:15:13.050, 0, NVIDIA RTX A4000, 62 %, 6879 MiB, 16376 MiB, 73.60 W
2026/05/03 18:15:13.053, 1, NVIDIA RTX A4000, 85 %, 6343 MiB, 16376 MiB, 74.77 W
2026/05/03 18:15:18.056, 0, NVIDIA RTX A4000, 68 %, 6879 MiB, 16376 MiB, 72.08 W
2026/05/03 18:15:18.333, 1, NVIDIA RTX A4000, 71 %, 6343 MiB, 16376 MiB, 72.32 W
2026/05/03 18:15:23.336, 0, NVIDIA RTX A4000, 74 %, 8865 MiB, 16376 MiB, 72.10 W
2026/05/03 18:15:23.345, 1, NVIDIA RTX A4000, 61 %, 8233 MiB, 16376 MiB, 72.14 W
2026/05/03 18:15:28.348, 0, NVIDIA RTX A4000, 58 %, 9905 MiB, 16376 MiB, 76.24 W
2026/05/03 18:15:28.426, 1, NVIDIA RTX A4000, 81 %, 8233 MiB, 16376 MiB, 75.47 W
2026/05/03 18:15:33.429, 0, NVIDIA RTX A4000, 76 %, 9905 MiB, 16376 MiB, 74.32 W
2026/05/03 18:15:33.652, 1, NVIDIA RTX A4000, 75 %, 8233 MiB, 16376 MiB, 75.26 W
2026/05/03 18:15:38.655, 0, NVIDIA RTX A4000, 64 %, 9905 MiB, 16376 MiB, 77.00 W
2026/05/03 18:15:38.657, 1, NVIDIA RTX A4000, 65 %, 8233 MiB, 16376 MiB, 76.30 W
2026/05/03 18:15:43.663, 0, NVIDIA RTX A4000, 76 %, 9905 MiB, 16376 MiB, 73.33 W
2026/05/03 18:15:43.666, 1, NVIDIA RTX A4000, 83 %, 8233 MiB, 16376 MiB, 72.50 W
2026/05/03 18:15:48.668, 0, NVIDIA RTX A4000, 57 %, 9905 MiB, 16376 MiB, 78.82 W
2026/05/03 18:15:48.828, 1, NVIDIA RTX A4000, 74 %, 8233 MiB, 16376 MiB, 77.87 W
2026/05/03 18:15:53.831, 0, NVIDIA RTX A4000, 76 %, 9905 MiB, 16376 MiB, 75.64 W
2026/05/03 18:15:54.110, 1, NVIDIA RTX A4000, 73 %, 8233 MiB, 16376 MiB, 74.63 W
2026/05/03 18:15:59.112, 0, NVIDIA RTX A4000, 94 %, 9905 MiB, 16376 MiB, 77.24 W
2026/05/03 18:15:59.281, 1, NVIDIA RTX A4000, 95 %, 8233 MiB, 16376 MiB, 75.64 W
2026/05/03 18:16:04.286, 0, NVIDIA RTX A4000, 63 %, 9905 MiB, 16376 MiB, 79.16 W
2026/05/03 18:16:04.483, 1, NVIDIA RTX A4000, 72 %, 8233 MiB, 16376 MiB, 77.62 W
2026/05/03 18:16:09.485, 0, NVIDIA RTX A4000, 80 %, 9905 MiB, 16376 MiB, 75.58 W
2026/05/03 18:16:09.702, 1, NVIDIA RTX A4000, 82 %, 8233 MiB, 16376 MiB, 74.99 W
2026/05/03 18:16:14.704, 0, NVIDIA RTX A4000, 58 %, 9905 MiB, 16376 MiB, 80.65 W
2026/05/03 18:16:14.818, 1, NVIDIA RTX A4000, 76 %, 8233 MiB, 16376 MiB, 79.11 W
2026/05/03 18:16:19.820, 0, NVIDIA RTX A4000, 75 %, 9905 MiB, 16376 MiB, 78.34 W
2026/05/03 18:16:20.069, 1, NVIDIA RTX A4000, 62 %, 8233 MiB, 16376 MiB, 77.88 W
2026/05/03 18:16:25.072, 0, NVIDIA RTX A4000, 66 %, 9905 MiB, 16376 MiB, 77.65 W
2026/05/03 18:16:25.203, 1, NVIDIA RTX A4000, 65 %, 8233 MiB, 16376 MiB, 76.30 W
2026/05/03 18:16:30.206, 0, NVIDIA RTX A4000, 72 %, 9905 MiB, 16376 MiB, 81.28 W
2026/05/03 18:16:30.448, 1, NVIDIA RTX A4000, 57 %, 8233 MiB, 16376 MiB, 80.67 W
2026/05/03 18:16:35.450, 0, NVIDIA RTX A4000, 85 %, 9905 MiB, 16376 MiB, 80.27 W
2026/05/03 18:16:35.453, 1, NVIDIA RTX A4000, 87 %, 8233 MiB, 16376 MiB, 78.56 W
2026/05/03 18:16:40.456, 0, NVIDIA RTX A4000, 72 %, 9905 MiB, 16376 MiB, 76.66 W
2026/05/03 18:16:40.506, 1, NVIDIA RTX A4000, 69 %, 8233 MiB, 16376 MiB, 76.62 W
2026/05/03 18:16:45.508, 0, NVIDIA RTX A4000, 59 %, 9905 MiB, 16376 MiB, 80.63 W
2026/05/03 18:16:45.651, 1, NVIDIA RTX A4000, 78 %, 8233 MiB, 16376 MiB, 79.70 W
2026/05/03 18:16:50.653, 0, NVIDIA RTX A4000, 79 %, 9905 MiB, 16376 MiB, 77.85 W
2026/05/03 18:16:50.788, 1, NVIDIA RTX A4000, 82 %, 8233 MiB, 16376 MiB, 75.51 W
2026/05/03 18:16:55.910, 0, NVIDIA RTX A4000, 74 %, 9905 MiB, 16376 MiB, 78.58 W
2026/05/03 18:16:56.086, 1, NVIDIA RTX A4000, 71 %, 8233 MiB, 16376 MiB, 77.82 W
2026/05/03 18:17:01.088, 0, NVIDIA RTX A4000, 72 %, 9905 MiB, 16376 MiB, 81.19 W
2026/05/03 18:17:01.249, 1, NVIDIA RTX A4000, 57 %, 8233 MiB, 16376 MiB, 80.45 W
2026/05/03 18:17:06.255, 0, NVIDIA RTX A4000, 62 %, 9905 MiB, 16376 MiB, 80.52 W
2026/05/03 18:17:06.257, 1, NVIDIA RTX A4000, 63 %, 8233 MiB, 16376 MiB, 79.28 W
2026/05/03 18:17:11.260, 0, NVIDIA RTX A4000, 58 %, 9905 MiB, 16376 MiB, 76.83 W
2026/05/03 18:17:11.263, 1, NVIDIA RTX A4000, 70 %, 8233 MiB, 16376 MiB, 77.51 W
2026/05/03 18:17:16.266, 0, NVIDIA RTX A4000, 57 %, 9905 MiB, 16376 MiB, 79.57 W
2026/05/03 18:17:16.443, 1, NVIDIA RTX A4000, 67 %, 8233 MiB, 16376 MiB, 77.77 W
2026/05/03 18:17:21.446, 0, NVIDIA RTX A4000, 78 %, 9905 MiB, 16376 MiB, 78.09 W
2026/05/03 18:17:21.678, 1, NVIDIA RTX A4000, 82 %, 8233 MiB, 16376 MiB, 76.68 W
2026/05/03 18:17:26.682, 0, NVIDIA RTX A4000, 77 %, 9905 MiB, 16376 MiB, 80.10 W
2026/05/03 18:17:26.685, 1, NVIDIA RTX A4000, 72 %, 8233 MiB, 16376 MiB, 79.72 W
2026/05/03 18:17:31.687, 0, NVIDIA RTX A4000, 82 %, 9905 MiB, 16376 MiB, 81.78 W
2026/05/03 18:17:31.693, 1, NVIDIA RTX A4000, 88 %, 8233 MiB, 16376 MiB, 79.08 W
2026/05/03 18:17:36.696, 0, NVIDIA RTX A4000, 73 %, 9905 MiB, 16376 MiB, 81.13 W
2026/05/03 18:17:36.699, 1, NVIDIA RTX A4000, 62 %, 8233 MiB, 16376 MiB, 80.41 W
2026/05/03 18:17:41.702, 0, NVIDIA RTX A4000, 66 %, 9905 MiB, 16376 MiB, 82.02 W
2026/05/03 18:17:41.849, 1, NVIDIA RTX A4000, 84 %, 8233 MiB, 16376 MiB, 80.57 W
2026/05/03 18:17:46.851, 0, NVIDIA RTX A4000, 93 %, 9905 MiB, 16376 MiB, 78.76 W
2026/05/03 18:17:47.102, 1, NVIDIA RTX A4000, 79 %, 8233 MiB, 16376 MiB, 77.24 W
2026/05/03 18:17:52.105, 0, NVIDIA RTX A4000, 75 %, 9905 MiB, 16376 MiB, 77.43 W
2026/05/03 18:17:52.289, 1, NVIDIA RTX A4000, 81 %, 8233 MiB, 16376 MiB, 76.20 W
2026/05/03 18:17:57.291, 0, NVIDIA RTX A4000, 76 %, 9905 MiB, 16376 MiB, 80.00 W
2026/05/03 18:17:57.294, 1, NVIDIA RTX A4000, 79 %, 8233 MiB, 16376 MiB, 80.16 W
2026/05/03 18:18:02.297, 0, NVIDIA RTX A4000, 63 %, 9905 MiB, 16376 MiB, 82.29 W
2026/05/03 18:18:02.300, 1, NVIDIA RTX A4000, 60 %, 8233 MiB, 16376 MiB, 81.28 W
2026/05/03 18:18:07.302, 0, NVIDIA RTX A4000, 74 %, 9905 MiB, 16376 MiB, 81.30 W
2026/05/03 18:18:07.486, 1, NVIDIA RTX A4000, 60 %, 8233 MiB, 16376 MiB, 79.86 W
2026/05/03 18:18:12.488, 0, NVIDIA RTX A4000, 81 %, 9905 MiB, 16376 MiB, 79.14 W
2026/05/03 18:18:12.731, 1, NVIDIA RTX A4000, 87 %, 8233 MiB, 16376 MiB, 77.60 W
2026/05/03 18:18:17.734, 0, NVIDIA RTX A4000, 66 %, 9905 MiB, 16376 MiB, 80.87 W
2026/05/03 18:18:17.837, 1, NVIDIA RTX A4000, 81 %, 8233 MiB, 16376 MiB, 79.39 W
2026/05/03 18:18:22.839, 0, NVIDIA RTX A4000, 87 %, 9905 MiB, 16376 MiB, 81.13 W
2026/05/03 18:18:22.842, 1, NVIDIA RTX A4000, 57 %, 8233 MiB, 16376 MiB, 79.25 W
2026/05/03 18:18:27.844, 0, NVIDIA RTX A4000, 67 %, 9905 MiB, 16376 MiB, 78.96 W
2026/05/03 18:18:28.059, 1, NVIDIA RTX A4000, 91 %, 8233 MiB, 16376 MiB, 77.39 W
2026/05/03 18:18:33.061, 0, NVIDIA RTX A4000, 61 %, 9905 MiB, 16376 MiB, 80.91 W
2026/05/03 18:18:33.216, 1, NVIDIA RTX A4000, 83 %, 8233 MiB, 16376 MiB, 78.75 W
2026/05/03 18:18:38.219, 0, NVIDIA RTX A4000, 75 %, 9905 MiB, 16376 MiB, 78.06 W
2026/05/03 18:18:38.455, 1, NVIDIA RTX A4000, 84 %, 8233 MiB, 16376 MiB, 76.31 W
2026/05/03 18:18:43.458, 0, NVIDIA RTX A4000, 75 %, 9905 MiB, 16376 MiB, 78.99 W
2026/05/03 18:18:43.662, 1, NVIDIA RTX A4000, 74 %, 8233 MiB, 16376 MiB, 77.52 W
2026/05/03 18:18:48.664, 0, NVIDIA RTX A4000, 67 %, 9905 MiB, 16376 MiB, 99.59 W
2026/05/03 18:18:48.761, 1, NVIDIA RTX A4000, 38 %, 8233 MiB, 16376 MiB, 99.43 W
2026/05/03 18:18:53.764, 0, NVIDIA RTX A4000, 0 %, 9905 MiB, 16376 MiB, 40.99 W
2026/05/03 18:18:53.766, 1, NVIDIA RTX A4000, 100 %, 8233 MiB, 16376 MiB, 56.16 W
2026/05/03 18:18:58.768, 0, NVIDIA RTX A4000, 0 %, 9905 MiB, 16376 MiB, 38.89 W
2026/05/03 18:18:58.958, 1, NVIDIA RTX A4000, 12 %, 8233 MiB, 16376 MiB, 39.55 W
2026/05/03 18:19:03.961, 0, NVIDIA RTX A4000, 0 %, 9905 MiB, 16376 MiB, 38.52 W
2026/05/03 18:19:04.030, 1, NVIDIA RTX A4000, 0 %, 8233 MiB, 16376 MiB, 38.47 W
2026/05/03 18:19:09.033, 0, NVIDIA RTX A4000, 50 %, 9905 MiB, 16376 MiB, 77.17 W
2026/05/03 18:19:09.035, 1, NVIDIA RTX A4000, 49 %, 8233 MiB, 16376 MiB, 90.57 W
2026/05/03 18:19:14.038, 0, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 56.93 W
2026/05/03 18:19:14.041, 1, NVIDIA RTX A4000, 0 %, 4 MiB, 16376 MiB, 56.00 W
